count,correct,verified,unsafe,image_time,avg_verif_time,cum_verif_time,model,epsilon
100,78,67,0,0.114,0.133,10.359,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.03
100,78,61,0,0.161,0.159,12.379,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.035
100,78,55,0,0.24,0.181,14.086,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.04
100,78,48,0,0.171,0.193,15.066,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.045
100,78,44,0,0.201,0.205,15.994,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.05
100,78,32,0,0.201,0.237,18.499,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.055
100,78,27,0,0.219,0.261,20.333,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.06
100,78,20,0,0.264,0.27,21.061,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.065
100,78,15,0,0.265,0.292,22.801,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.07
100,78,12,0,0.265,0.311,24.249,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.075
